espacio_prot_categoria;espacio_prot_figura;espacio_prot_nombre;espacio_prot_superficie_ha;espacio_prot_fecha_declaracion;espacio_prot_normativa;espacio_prot_informacion_web
Áreas protegidas por instrumentos internacionales;Reserva de la Biosfera;Cuencas Altas de los ríos Manzanares, Lozoya y Guadarrama;105655.00;09/11/1992;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060103&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/reservas-biosfera#rb-cuencas-altas-rios-manzanares-lozoya-guadarrama
Áreas protegidas por instrumentos internacionales;Reserva de la Biosfera;Sierra del Rincón;16091.70;29/06/2005;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060103&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/reservas-biosfera#rb-sierra-rincon
Áreas protegidas por instrumentos internacionales;Humedal de Importancia Internacional (RAMSAR);Humedales del Macizo de Peñalara ;487.20;16/12/2005;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060103&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/embalses-humedales-catalogados#ramsar
Espacios Protegidos Red Natura 2000;Zona de Especial Protección para las Aves;Monte de El Pardo;15298.67;01/02/1988;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060102&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/espacios-protegidos-red-natura-2000
Espacios Protegidos Red Natura 2000;Zona de Especial Protección para las Aves;Soto de Viñuelas;3071.89;01/02/1988;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060102&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/espacios-protegidos-red-natura-2000
Espacios Protegidos Red Natura 2000;Zona de Especial Protección para las Aves;Encinares del río Alberche y río Cofio;82998.86;01/01/1989;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060102&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/espacios-protegidos-red-natura-2000
Espacios Protegidos Red Natura 2000;Zona de Especial Protección para las Aves;Alto Lozoya;7853.75;01/01/1990;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060102&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/espacios-protegidos-red-natura-2000
Espacios Protegidos Red Natura 2000;Zona de Especial Protección para las Aves;Carrizales y sotos de Aranjuez;14956.91;01/04/1991;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060102&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/espacios-protegidos-red-natura-2000
Espacios Protegidos Red Natura 2000;Zona de Especial Protección para las Aves;Estepas cerealistas de los ríos Jarama y Henares;33230.03;01/01/1993;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060102&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/espacios-protegidos-red-natura-2000
Espacios Protegidos Red Natura 2000;Zona de Especial Protección para las Aves;Cortados y cantiles de los ríos Jarama y Manzanares;27983.02;01/12/1993;http://www.madrid.org/rlma_web/html/web/BusquedaBasica.icm?TL_TITULO=&CD_AREA=060102&CD_AREA_TODOS=&DS_DISPOSICION_NUMERO=&DS_DISPOSICION_ANYO=&CD_RANGO=&CD_AMBITO=&SOLO_VIGENTE=S;http://www.comunidad.madrid/servicios/urbanismo-medio-ambiente/espacios-protegidos-red-natura-2000
